localization_id,english,español
name_basic_move,Basic Move,Movimiento Básico
name_special_move,Special Move,Movimiento Especial
title_basic_moves,Basic Moves,Movimientos Básicos
name_just_roll,Just Roll,Solo Tira
name_fight,Fight,Pelea
name_defy,Defy Disaster,Desafiar Desastre
name_stagger,Stagger,Tambalearse
name_entice,Entice,Atraer
name_figure,Figure Out A Person,Descifrar a una persona
name_influence,Influence With A String,Influencia Con Un Hilo
name_smitten,Smitten,Enamorada
name_kiss,Finally Kiss In A Dangerous Situation ,Finalmente Nos Besamos En Una Situación Peligrosa
name_support,Emotional Support ,Soporte Emocional
title_special_moves,Special Moves,Movimientos Especiales
name_call,Call On A Toxic Power,Llamado A Un Poder Tóxico
name_eos,End Of Session,Fin De Sesión
trigger_just_roll,When you just roll 2d6 with any modifier,Cuando tiras 2d6 con cualquier modificador
trigger_fight,**When you seek to incapacitate someone with violence.**,**Cuando buscas incapacitar a alguien con violence.**
trigger_defy,**When you push your limits to achieve something extraordinary.**,**Cuando te empujas sobre tus límites para lograr algo extraordinario.**
trigger_stagger,**When you suffer a staggering physical or emotional blow.**,**Cuando sufres un impactante golpe físico o emocional.**
trigger_entice,**When you appeal to someone’s physical or emotional sensibilities.**,**Cuando apelamos a las sensibilidades físicas o emocionales de alguien.**
trigger_figure,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_influence,,
trigger_smitten,**When you become Smitten with someone.**,**Cuando te enamoras de alguien.**
trigger_kiss,**When people finally kiss after a period of tension.**,**Cuando la gente finalmente se besan después de un periodo de tension.**
trigger_support,**When you offer someone support in a way that could be meaningful to them.**,**Cuando ofreces apoyo de una manera que pudiera ser significativa para ellos.**
trigger_call,**When you parley with a Toxic Power.**,**Cuando negocias con un poder tóxico.**
trigger_eos,**At the end of every session.**,**Al final de cada sesión.**
blurb_just_roll,` `,` `
blurb_fight,"__Roll +Daring or +Grace:__
**10+:**Choose 3 and your opponent chooses 1 to apply to you in response.
 **7–9:**Choose 2 and your opponent chooses 1.

 **•** Flirt with or provoke your opponent and gain a String on them.
 **•** Through violence or cutting words, inflict a Condition.
 **•** Create an opportunity for an ally through prowess or distraction.
 **•** Take an object from your opponent or seize a superior position.","**[Versión en español pendiente]**

__Roll +Daring or +Grace:__
**10+:**Choose 3 and your opponent chooses 1 to apply to you in response.
 **7–9:**Choose 2 and your opponent chooses 1.

 **•** Flirt with or provoke your opponent and gain a String on them.
 **•** Through violence or cutting words, inflict a Condition.
 **•** Create an opportunity for an ally through prowess or distraction.
 **•** Take an object from your opponent or seize a superior position."
blurb_defy,"__that’s not covered by another move, or to avert an imminent danger__ to yourself or
someone else, say what you’re willing to sacrifice and pick your approach:
**•** Might, endurance, or courage +Daring.
**•** Swiftness or elegance +Grace.
**•** Charm or social insight +Heart.
**•** Cleverness or knowledge +Wit.
**•** Willpower or metaphysical skill +Spirit.

**10+:**Do it with style. At the GM’s discretion, you may also learn new information, discover a new opportunity, or gain a String on someone.
**7–9:**The GM will offer you a hard choice or success with a sacrifice.","**[Versión en español pendiente]**

__that’s not covered by another move, or to avert an imminent danger__ to yourself or
someone else, say what you’re willing to sacrifice and pick your approach:
**•** Might, endurance, or courage +Daring.
**•** Swiftness or elegance +Grace.
**•** Charm or social insight +Heart.
**•** Cleverness or knowledge +Wit.
**•** Willpower or metaphysical skill +Spirit.

**10+:**Do it with style. At the GM’s discretion, you may also learn new information, discover a new opportunity, or gain a String on someone.
**7–9:**The GM will offer you a hard choice or success with a sacrifice."
blurb_stagger,"choose an option from the following based on the number of Conditions you have marked.
**4–5 Conditions:**
**•** You’re rendered helpless for the scene.
**•** You’re utterly humiliated and news will spread; this could be a consequence of a setback in the confrontation, or might be caused by something you confess in the heat of the moment.
**•** Choose 2 from the “0–3 Conditions” options.

**0–3 Conditions:**
**•** You lash out at someone whose regard matters to you: provoke them to do something foolish or harmful and take advantage of a String on them if you have one.
**•** You hesitate or stumble and the opposition gains an opportunity.
**•** You grin and bear the blow; mark two Conditions.","**[Versión en español pendiente]**

choose an option from the following based on the number of Conditions you have marked.
**4–5 Conditions:**
**•** You’re rendered helpless for the scene.
**•** You’re utterly humiliated and news will spread; this could be a consequence of a setback in the confrontation, or might be caused by something you confess in the heat of the moment.
**•** Choose 2 from the “0–3 Conditions” options.

**0–3 Conditions:**
**•** You lash out at someone whose regard matters to you: provoke them to do something foolish or harmful and take advantage of a String on them if you have one.
**•** You hesitate or stumble and the opposition gains an opportunity.
**•** You grin and bear the blow; mark two Conditions."
blurb_entice,"__roll +Heart:__
**10+:**Gain a String on them and they choose 1.
**7–9:**Gain a String on them, unless they decide instead to choose 1.

**•** Get flustered and awkward.
**•** Promise something they think you want.
**•** Give in to desire.","**[Versión en español pendiente]**

__roll +Heart:__
**10+:**Gain a String on them and they choose 1.
**7–9:**Gain a String on them, unless they decide instead to choose 1.

**•** Get flustered and awkward.
**•** Promise something they think you want.
**•** Give in to desire."
blurb_figure,"__roll +Wit__ (+3 more if you spend a String on them):
**10+:**You may ask 2 questions, now or later in the scene
**7–9:**You may ask 2 questions, but they may ask 1 of you

**•** What are your feelings towards _____?
**•** What do you hope to get from _____?
**•** How could I get you to _____?
**•** What do you love most?
**•** How would you feel if I _____?","**[Versión en español pendiente]**

__roll +Wit__ (+3 more if you spend a String on them):
**10+:**You may ask 2 questions, now or later in the scene
**7–9:**You may ask 2 questions, but they may ask 1 of you

**•** What are your feelings towards _____?
**•** What do you hope to get from _____?
**•** How could I get you to _____?
**•** What do you love most?
**•** How would you feel if I _____?"
blurb_influence,"At any time, spend a String on someone to do one of the following:

**•** Offer them an XP to do something (don’t spend the String if they refuse the temptation)
**•** Find out what it will take to get them to do what you want (for an NPC, spending the String means they may simply agree).
**•** Add 1 to your roll against them (after rolling).
**•** Add or subtract 1 from any roll they make (after rolling).","**[Versión en español pendiente]**

At any time, spend a String on someone to do one of the following:

**•** Offer them an XP to do something (don’t spend the String if they refuse the temptation)
**•** Find out what it will take to get them to do what you want (for an NPC, spending the String means they may simply agree).
**•** Add 1 to your roll against them (after rolling).
**•** Add or subtract 1 from any roll they make (after rolling)."
blurb_smitten,"__(always your choice),__ say why, give them a String on you, and answer the question in the Truths of Heart and Blade section of your playbook. 
(The command appears on the list when using the [playbook_name] )
","**[Versión en español pendiente]**

__(always your choice),__ say why, give them a String on you, and answer the question in the Truths of Heart and Blade section of your playbook. 
(The command appears on the list when using the [playbook_name] )
"
blurb_kiss,"each takes +1 ongoing to get to safety and protect the other for the rest of the scene.
If more than two people finally kiss in these circumstances, they all get the bonus. Each participant must be enthusiastic about kissing to trigger this move.","**[Versión en español pendiente]**

each takes +1 ongoing to get to safety and protect the other for the rest of the scene.
If more than two people finally kiss in these circumstances, they all get the bonus. Each participant must be enthusiastic about kissing to trigger this move."
blurb_support,"__roll +Heart or +Spirit__ (+3 more if you spend a String on them):
**10+:**If they open up to you, they choose 1 and you either choose 1 or take a String on them.
**7–9:**If they open up to you, they choose 1 a Clear a Condition a Mark XP.
**•** +1 forward.
**•** Gain insight from the GM about an obstacle facing one of you.","**[Versión en español pendiente]**

__roll +Heart or +Spirit__ (+3 more if you spend a String on them):
**10+:**If they open up to you, they choose 1 and you either choose 1 or take a String on them.
**7–9:**If they open up to you, they choose 1 a Clear a Condition a Mark XP.
**•** +1 forward.
**•** Gain insight from the GM about an obstacle facing one of you."
blurb_call,"ask it your question and __roll +Spirit:__
**10+:**It answers the question and grants you +1 forward to act on the information.
**7–9:**It answers the question and the GM chooses 1.

**•** It takes something from you, either knowledge, reputation, or something physical.
**•** You mark a Condition.
**•** It gains a String on you.","**[Versión en español pendiente]**

ask it your question and __roll +Spirit:__
**10+:**It answers the question and grants you +1 forward to act on the information.
**7–9:**It answers the question and the GM chooses 1.

**•** It takes something from you, either knowledge, reputation, or something physical.
**•** You mark a Condition.
**•** It gains a String on you."
blurb_eos,"each player marks XP if, during the session:

**•** Any PC confessed their love.
**•** Any PC struck a blow against oppression or de-escalated a violent situation.
**•** Any PC leapt into danger with daring and panache.
**•** Any player used a safety practice such as adding to the palette or checking in.","**[Versión en español pendiente]**

each player marks XP if, during the session:

**•** Any PC confessed their love.
**•** Any PC struck a blow against oppression or de-escalated a violent situation.
**•** Any PC leapt into danger with daring and panache.
**•** Any player used a safety practice such as adding to the palette or checking in."
name_figure_beast,The Beast Figures Out A Person,La Bestia Descifra a una persona
name_figure_chosen,The Chosen Figures Out A Person,La Elegida Descifra a una persona
name_figure_devoted,The Devoted Figures Out A Person,La Devota Descifra a una persona
name_figure_infamous,The Infamous Figures Out A Person,La Infame Descifra a una persona
name_figure_nature,The Nature WitchFigures Out A Person,La Bruja de Naturaleza Descifra a una persona
name_figure_scoundrel,The Scoundrel Figures Out A Person,La Pícara Descifra a una persona
name_figure_seeker,The Seeker Figures Out A Person,La Buscadora Descifra a una persona
name_figure_spooky,The Spooky Figures Out A Person,La Bruja Aterradora Descifra a una persona
name_figure_trickster,The Trickster Figures Out A Person,La Tramposa Descifra a una persona
name_figure_bloody,The Bloody Figures Out A Person,La Sangrienta Descifra a una persona
name_figure_dream,The Dream Mirror Figures Out A Person,La Espejo de los Sueños Descifra a una persona
name_figure_ensemble,The Ensemble Figures Out A Person,La Pareja Descifra a una persona
name_figure_hologodess,The Hologodess Figures Out A Person,La Holodiosa Descifra a una persona
name_figure_investigator,The Investigator Figures Out A Person,La Investigadora Descifra a una persona
name_figure_legion,The Legion Figures Out A Person,La Legión Descifra a una persona
name_figure_matriarch,The Matriarch Figures Out A Person,La Matriarca Descifra a una persona
name_figure_naga,The Naga Figures Out A Person,La Naga Descifra a una persona
name_figure_sun,The Sun Hand Figures Out A Person,La Rayito de Sol Descifra a una persona
name_figure_troubadour,The Troubadour Figures Out A Person,La Trobadora Descifra a una persona
name_figure_bladesoul,The Bladesoul Figures Out A Person,La Alama de Espada Descifra a una persona
trigger_figure_beast,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_chosen,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_devoted,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_infamous,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_nature,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_scoundrel,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_seeker,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
trigger_figure_spooky,**When you try to understand a person.**,**Cuando intentas entender a una persona.**
