localization_id,english,español
title_playbooks,Playbooks,Libretos
mirror_basic_move,name_basic_move,name_basic_move
mirror_special_move,name_special_move,name_special_move
name_beast,The Beast,La Bestia
name_chosen,The Chosen,La Elegida
name_devoted,The Devoted,La Devota
name_infamous,The Infamous,La Infame
name_nature,The Nature Witch,La Bruja de Naturaleza
name_scoundrel,The Scoundrel,La Pícara
name_seeker,The Seeker,La Buscadora
name_spooky,The Spooky,La Bruja Aterradora
name_trickster,The Trickster,La Tramposa
name_bloody,The Bloody,La Sangrienta
name_dream,The Dream Mirror,La Espejo de los Sueños
name_ensemble,The Ensemble,La Pareja
name_hologodess,The Hologodess,La Holodiosa
name_investigator,The Investigator,La Investigadora
name_legion,The Legion,La Legión
name_matriarch,The Matriarch,La Matriarca
name_naga,The Naga,La Naga
name_sun,The Sun Hand,La Rayito de Sol
name_troubadour,The Troubadour,La Trovadora
name_bladesoul,The Bladesoul,La Alma de Espada
name_amalgam,The Amalgam,La Amalgama
blurb_beast,"The Beast follows their truth and their passions, which puts them in conflict with civilization and civilized norms. Unless they give up what makes them special and powerful, they cannot make themself acceptable to that civilized society.

**Their central conflict is living their truth versus fitting in with a dominant social order.**","**[Versión en español pendiente]**

The Beast follows their truth and their passions, which puts them in conflict with civilization and civilized norms. Unless they give up what makes them special and powerful, they cannot make themself acceptable to that civilized society.

**Their central conflict is living their truth versus fitting in with a dominant social order.**"
blurb_chosen,"The Chosen playbook revolves around special status, relationships across social strata, and the crushing expectations of fate, family, or the adoring public.

**Their central conflict is inner truth versus crushing social expectations.**","**[Versión en español pendiente]**

The Chosen playbook revolves around special status, relationships across social strata, and the crushing expectations of fate, family, or the adoring public.

**Their central conflict is inner truth versus crushing social expectations.**"
blurb_devoted,"The Devoted is a selfless protector, committed to a person or a cause.

**Their central conflict lies in pitting this devotion against self-care.**","**[Versión en español pendiente]**

The Devoted is a selfless protector, committed to a person or a cause.

**Their central conflict lies in pitting this devotion against self-care.**"
blurb_infamous,"The Infamous once participated in wicked deeds, but they’ve become fiercely righteous in trying to atone.

**Their central conflict arises from the lasting consequences of their past actions and beliefs versus their new convictions. Will they repair the harm they caused, will they seek forgiveness, or will they despair? Will they find a new place to belong?**","**[Versión en español pendiente]**

The Infamous once participated in wicked deeds, but they’ve become fiercely righteous in trying to atone.

**Their central conflict arises from the lasting consequences of their past actions and beliefs versus their new convictions. Will they repair the harm they caused, will they seek forgiveness, or will they despair? Will they find a new place to belong?**"
blurb_nature,"The Nature Witch is deeply connected to their environment and less experienced when it comes to people. They’re either new to socializing or are newly exploring what it feels like to socialize as their true self.

**Their central conflict revolves around the growth that their explorations will require from them and those who love them.**","**[Versión en español pendiente]**

The Nature Witch is deeply connected to their environment and less experienced when it comes to people. They’re either new to socializing or are newly exploring what it feels like to socialize as their true self.

**Their central conflict revolves around the growth that their explorations will require from them and those who love them.**"
