localization_id,English,Español,Type
command_help,help,ayuda,help_list
command_labels,labels,etiquetas,label_list
command_daring,daring,audaz,label
command_grace,grace,gracia,label
command_heart,heart,corazón,label
command_wit,wit,ingenio,label
command_spirit,spirit,espíritu,label
command_conditions,conditions,condiciones,condition_list
command_angry,angry,enojada,condition
command_frightened,frightened,asustada,condition
command_guilty,guilty,culpable,condition
command_hopeless,hopeless,desesperanzada,condition
command_insecure,insecure,insegura,condition
command_fight,fight,pelea,basic_move
command_defy,defy,desafiar,basic_move
command_stagger,stagger,tambalearse,basic_move
command_entice,entice,atraer,basic_move
command_figure,figure,descifrar,basic_move
command_influence,influence,influencia,basic_move
command_smitten,smitten,enamorada,basic_move
command_kiss,kiss,beso,basic_move
command_support,support,soporte,basic_move
command_call,call,llamado,special_move
command_eos,eos,fds,special_move
command_basic,basic,básico,basic_move_list
command_special,special,especial,special_move
command_beast,beast,bestía,playbook
command_chosen,chosen,elegida,playbook
command_devoted,devoted,devota,playbook
command_infamous,infamous,infame,playbook
command_nature,nature,naturaleza,playbook
command_scoundrel,scoundrel,,playbook
command_seeker,seeker,,playbook
command_spooky,spooky,aterrador,playbook
command_trickster,trickster,,playbook
command_bloody,bloody,sangriente,playbook
command_dream,dream,sueño,playbook
command_ensemble,ensemble,,playbook
command_hologodess,hologodess,,playbook
command_investigator,invetigator,,playbook
command_legion,legion,,playbook
command_matriarch,matriarch,,playbook
command_naga,naga,,playbook
command_sun,sun,,playbook
command_troubadour,troubadour,,playbook
