localization_id,english,español
name_scoundrel_moment,Living In The Moment,
name_scoundrel_heat,Heat Of The Moment,
name_scoundrel_lust,,
name_scoundrel_shiny,,
name_scoundrel_forgive,,
name_scoundrel_rush,,
name_scoundrel_swordplay,,
name_scoundrel_attraction,,
name_scoundrel_port,,
name_scoundrel_rrip,,
trigger_scoundrel_moment,**Why are you so fickle?**,
trigger_scoundrel_heat,** When you taunt someone into doing something they want to do but find unwise.**,
trigger_scoundrel_lust,,
trigger_scoundrel_shiny,,
trigger_scoundrel_forgive,,
trigger_scoundrel_rush,,
trigger_scoundrel_swordplay,,
trigger_scoundrel_attraction,,
trigger_scoundrel_port,,
trigger_scoundrel_rrip,,
blurb_scoundrel_moment,"Is there something you need to figure out about yourself, and you keep looking for it in other people instead? Are you afraid of the vulnerability that comes from investing in a relationship? Is your true love unattainable? Are you just that oblivious?

Choose something that you’ll be able to grow past to give your character an emotional story arc. You don’t need to figure it out immediately, and the Scoundrel themself may not know at all.",
blurb_scoundrel_heat,"__roll +Daring:__
If the target is an NPC:
**10+:**They’ll do it in exchange for a small concession or reassurance
**7–9:**They choose 1

**•** Create an opportunity for you or your allies
**•** They give you a String on them

If the target is a PC:
**10+:**They mark XP if they do it, and must take a Condition if they don’t
**7–9:**You choose 1

**•** They mark XP if they do it
**•**They take a Condition if they don’t

For either a PC or an NPC, if you aren’t already Smitten with them, you may choose to treat __a 7–9 result as a 10+__ by **choosing** to become **Smitten** with the target.",
blurb_scoundrel_lust,,
blurb_scoundrel_shiny,,
blurb_scoundrel_forgive,,
blurb_scoundrel_rush,,
blurb_scoundrel_swordplay,,
blurb_scoundrel_attraction,,
blurb_scoundrel_port,,
blurb_scoundrel_rrip,,
